date,price
2022-03-29,3328.93
2022-03-30,3401.18
2022-03-31,3383.79
2022-04-01,3283.3
2022-04-02,3451.2
2022-04-03,3440.34
2022-04-04,3521.58
2022-04-05,3520.97
2022-04-06,3422.97
2022-04-07,3171.37
2022-04-08,3232.83
2022-04-09,3192.03
2022-04-10,3265.94
2022-04-11,3219.16
2022-04-12,2992.7
2022-04-13,3038.21
2022-04-14,3121.4
2022-04-15,3023.42
2022-04-16,3045.43
2022-04-17,3066.36
2022-04-18,2995.72
2022-04-19,3061.89
2022-04-20,3104.69
2022-04-21,3079.68
2022-04-22,2987.49
2022-04-23,2967.09
2022-04-24,2940.69
2022-04-25,2922.9
2022-04-26,3008.34
2022-04-27,2806.75
2022-04-28,2889.59
2022-04-29,2932.46
2022-04-30,2817.49
2022-05-01,2738.17
2022-05-02,2832.51
2022-05-03,2861.37
2022-05-04,2786.05
2022-05-05,2942.05
2022-05-06,2753.94
2022-05-07,2699.71
2022-05-08,2641.23
2022-05-09,2517.83
2022-05-10,2249.89
